"","Year","Country","Energy type","Generation (TWh)"
"1",2000,"Austria","Fossil",16.418859
"2",2000,"Austria","Coal",5.72699999999999
"3",2000,"Austria","Hard Coal",4.435
"4",2000,"Austria","Lignite",1.292
"5",2000,"Austria","Gas",7.851
"6",2000,"Austria","Other fossil",2.840859
"7",2000,"Austria","Nuclear",0
"8",2000,"Austria","Renewables",43.433614
"9",2000,"Austria","Hydro",41.835352
"10",2000,"Austria","Wind and solar",0.069983
"11",2000,"Austria","Wind",0.066754
"12",2000,"Austria","Solar",0.003229
"13",2000,"Austria","Bioenergy",1.528279
"14",2000,"Austria","Other renewables",0
"15",2000,"Austria","Production",59.852473
"16",2000,"Austria","Net imports",-1.368
"17",2000,"Austria","Demand",58.484473
"18",2000,"Belgium","Fossil",33.572
"19",2000,"Belgium","Coal",12.916
"20",2000,"Belgium","Hard Coal",12.916
"21",2000,"Belgium","Lignite",0
"22",2000,"Belgium","Gas",15.977
"23",2000,"Belgium","Other fossil",4.679
"24",2000,"Belgium","Nuclear",48.157
"25",2000,"Belgium","Renewables",1.04399999999999
"26",2000,"Belgium","Hydro",0.459999999999999
"27",2000,"Belgium","Wind and solar",0.016
"28",2000,"Belgium","Wind",0.016
"29",2000,"Belgium","Solar",0
"30",2000,"Belgium","Bioenergy",0.568
"31",2000,"Belgium","Other renewables",0
"32",2000,"Belgium","Production",82.773
"33",2000,"Belgium","Net imports",4.326
"34",2000,"Belgium","Demand",87.099
"35",2000,"Bulgaria","Fossil",19.7949999999999
"36",2000,"Bulgaria","Coal",16.941
"37",2000,"Bulgaria","Hard Coal",2.972
"38",2000,"Bulgaria","Lignite",13.969
"39",2000,"Bulgaria","Gas",1.912
"40",2000,"Bulgaria","Other fossil",0.942
"41",2000,"Bulgaria","Nuclear",18.178
"42",2000,"Bulgaria","Renewables",2.631
"43",2000,"Bulgaria","Hydro",2.631
"44",2000,"Bulgaria","Wind and solar",0
"45",2000,"Bulgaria","Wind",0
"46",2000,"Bulgaria","Solar",0
"47",2000,"Bulgaria","Bioenergy",0
"48",2000,"Bulgaria","Other renewables",0
"49",2000,"Bulgaria","Production",40.604
"50",2000,"Bulgaria","Net imports",-4.61999999999999
"51",2000,"Bulgaria","Demand",35.984
"52",2000,"Croatia","Fossil",4.809
"53",2000,"Croatia","Coal",1.551
"54",2000,"Croatia","Hard Coal",1.546
"55",2000,"Croatia","Lignite",0.005
"56",2000,"Croatia","Gas",1.571
"57",2000,"Croatia","Other fossil",1.687
"58",2000,"Croatia","Nuclear",0
"59",2000,"Croatia","Renewables",6.4539
